Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
PT00093183,"Printed Insert, 1 Quart Transportable Container, Cardinal Health Branded, Reorder Nos. 8303SA",Preliminary,,,Part
PT00093184,"Printed Insert, SHARPSTAR IN-ROOM Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093185,"Printed Insert, Phlebotomy 1 Quart Sharps Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093187,"Printed Insert, AUTODROP Blood Needle Holder System, Cardinal Health Branded, Reorder No. 1510SA",Preliminary,,,Part
PT00093188,"Printed Insert, IN-ROOM Sharps Disposal System, Covidien Health Branded, Reorder No. 8556H",Preliminary,,,Part
PT00093189,"Printed Insert, SHARPSAFETY Non-Infectious Glass Waste, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093190,"Printed Insert, Generic, SHARPS-A-GATOR Sharps Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093191,"Printed Instruction for Use (IFU), Generic, SHARPS-A-GATOR Sharps Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093192,"Printed Insert, Instruction Sheet, 2-1/2 and 5 Qurat Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093193,"Printed Insert, Instruction Sheet, Absorbent Pads, Sharps Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093194,"Printed Instruction for Use (IFU) , SHARPS-A-GATOR, Sharps Containers with Counterbalance Lid, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093196,"IFU, Absorbant Pads, Large, 9-7/8 Inch x 6 Inch, Cardinal Health Branded, Reorder No. 8930SA",Preliminary,,,Part
PT00093197,"Printed Insert, SHARPS-A-GATOR and CHEM-O-GATOR 19 Gallon Container, Cardinal Health Branded, Reorder No. 31378089",Preliminary,,,Part
PT00093198,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Hinged Lid with Snap Cap, Cardinal Health Branded",Preliminary,,,Part
PT00093200,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Counterbalance Lid, Cardinal Health Branded",Preliminary,,,Part
PT00093201,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Hinged Lid, Cardinal Health Branded",Preliminary,,,Part
PT00093202,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Slide Lid, Cardinal Health Branded",Preliminary,,,Part
PT00093203,"Printed Insert, Instruction Sheet, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers, Cardinal Health Branded",Preliminary,,,Part
PT00093204,"Printed Insert, IN-ROOM Sharps Disposal Units with Flap Doors, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093205,"Printed Insert, Instruction Sheet,  IN-ROOM Sharps Lids, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093206,"Printed Insert, Instruction Sheet, SHARPSAFETY Hinged Lid Sharps Containers, Cardinal Health Branded, Various Reorder No.",Preliminary,,,Part
PT00093207,"Printed Insert, Instruction Sheet, Rotor Lid, Sharps Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093220,"Printed Insert, Instruction Sheet, Lid, Biohazard Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093221,"Printed Insert, Instruction Sheet, SHARPSAFETY Chemotherapy Container and Sharps Container, Cardinal Health Branded, Various Reorder No.",Preliminary,,,Part
PT00093222,"Printed Insert, Instruction Sheet, SHARPSAFETY Gasketed Hinged Lid Sharps and Chemotherapy Containers, Cardinal Health Branded",Preliminary,,,Part
PT00093223,"Printed Insert, Sharps Disposal System, Cardinal Health Branded, Various Reorder Nos",Preliminary,,,Part
PT00093224,"Printed Insert, Sharps Disposal Containers with Rotor Openings and AUTODROP Funnels, Cardinal Health Branded, Reorder No. 1522SA",Preliminary,,,Part
PT00093225,"Printed Insert, RCRA Waste Disposal Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093237,"Printed Insert, RCRA 5 Quart Waste Disposal Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093238,"Printed Insert, SHARPS-A-GATOR Sharps Container with Slide Top, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093239,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8512",Preliminary,,,Part
PT00093240,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8900",Preliminary,,,Part
PT00093241,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8970",Preliminary,,,Part
PT00093242,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8980",Preliminary,,,Part
PT00093243,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8985",Preliminary,,,Part
PT00093244,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8536",Preliminary,,,Part
PT00093245,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8506",Preliminary,,,Part
PT00093246,"Corrugated Case, Printed,  NovaPlus, Cardinal Health Branded, Reorder No. V8618",Preliminary,,,Part
PT00093247,"Corrugated Case, Printed, NovaPlus, Cardinal Health Branded, Reorder No. V8870",Preliminary,,,Part
PT00093249,Insert Sheet for 1 and 2 Gallon Private Label,Preliminary,,,Part
PT00093250,"Insert Sheet for 5 Quart, Cardinal Health Branded, Reorder No. 31323176",Preliminary,,,Part
PT00093254,"Printed Insert, Instruction Sheet, Drywall Anchors, Cardinal Health Branded, Reorder No. 8556H",Preliminary,,,Part
PT00093255,"Printed Label, Waste Disposal Container, Lid Instructions, Generic, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093257,"Printed Label, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers, Lid Instructions, Cardinal Health Branded",Preliminary,,,Part
PT00093258,"Product Label, Printed, Generic, With Fill Line, CHEMOSAFETY Waste Disposal Container, Cardinal Health Branded, Reorder No. 8982",Preliminary,,,Part
PT00095915,"Printed Product Label, Generic, Biomax Dot, Sharps Disposal",Preliminary,,,Part
PT00096177,"PharmaSafety Lid, Door and Cowl",Active,1,,Part
PT00096202,"FIP Gasketed Lid, Hinged, 12 and 18 Gallon Container, PGII, Sustainable Technologies",Active,2,,Part
PT00096237,2GAL FIP SNAP CAP  Sustainable Technologies,Active,2,,Part
PT00097045,"Label, Hazardous Waste Pharmaceutical",Active,1,Compliant,Part
PT00098902,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe",Preliminary,,,Part
PT00098904,Corrugated Carton Smartip 12ml Covidien,Preliminary,,,Part
PT00098905,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Curved Tip (412)",Preliminary,,,Part
PT00098906,"Folding Carton, Printed, KANGAROO Purple Enteral Feeding Syringe, 10mL",Preliminary,,,Part
PT00098907,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe, Amber",Preliminary,,,Part
PT00101988,412 Printed Barrel  Phantom Rebranded,Active,1,,Part
PT00102303,"Product Label, Printed, 5.0 Inch x 6.75 Inch, PHARMASAFETY Containers, with fill line Various Reorder Nos.",Preliminary,,,Part
PT00102326,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Preliminary,,,Part
PT00103021,"Resin, Polypropylene Impact Copolymer, Philips 66 COPYLENE CM350LN",Active,1,,Part
PT00104294,"Sharp Container (SB), Red, 10 Ga",Active,2,,Part
PT00104295,"Sharps Container (SB), Yellow, 10 Gallon",Active,2,,Part
PT00104798,"Resin, Polypropylene, Impact Copolymer, Pro-Fax SG722",Active,1,,Part
PT00105429,Red 2 Gallon Container,Preliminary,,,Part
PT00105654,"Thermal Transfer Ribbon, General Wax, 2 Inch",Preliminary,,,Part
PT00106609,"Printed Product Label, Generic, Biohazard Waste Disposal Container MONOJECT, Nova Plus, Various Reorder Nos.",Preliminary,,,Part
PT00106625,"Printed Product Label, Generic, CHEMOTHERAPY Container,  MONOJECT, Nova Plus, Reorder No. V8985",Preliminary,,,Part
PT00106626,"Printed Product Label, RCRA Hazardous Waste, MONOJECT, Nova Plus, Reorder No. V8616",Preliminary,,,Part
PT00106627,"Printed Product Label, Pharmaceutical Waste Container, MONOJECT, Nova Plus, Reorder No. V8870",Preliminary,,,Part
R1025C,"Corrugated Case, Printed, Generic, 11.5 Inch x 8.0 Inch x 6.5 Inch",Discontinued,1,,Part
R1025D,"Corrugated Case, Printed, Generic, 11.5 Inch x 8.0 Inch x 6.5 Inch",Active,0,,Part
R1035,"Corrugated Divider, Unprinted, 33-1/8 Inch x 20-3/4 Inch",Active,1,,Part
R1040E,"Corrugated Case, Printed, Generic, 25.375 Inch x 14.25 Inch x 10.6875 Inch",Discontinued,2,,Part
R1057,H-DIVIDER FOR 8950SA,Active,0,,Part
R1073C,"Corrugated Case, Printed, Generic, 14.375 Inch x 7.875 Inch x 6.5 Inch",Active,0,,Part
R1073D,"Corrugated Case, Printed, Generic, 14.375 Inch x 7.875 Inch x 6.5 Inch",Active,0,,Part
R1075,Z-PAD FOR 85321R,Active,0,,Part
R1106A,INNER CARTON FOR 1 QUART,Active,0,,Part
R1128B,"Corrugated Case, Printed, Generic, 14.875 Inch x 11.5 Inch x 6.625 Inch",Discontinued,1,,Part
R1146E,"Corrugated Case, Printed Generic, 20.25 Inch x 17.625 Inch x 14.5 Inch",Discontinued,2,,Part
R1149,"Corrugated Inner Carton, Unprinted, 12-3/4 Inch x 4-3/4 Inch x 15 Inch",Active,1,,Part
R1156B,"Corrugated Case, Printed, Generic, 10.5 Inch x 5.75 Inch x 4.625 Inch",Discontinued,1,,Part
R1156C,"Corrugated Case, Printed, Generic, 10.5 Inch x 5.75 Inch x 4.625 Inch",Active,0,,Part
R1158,DIVIDER FOR 8920,Active,0,,Part
R1159,INNER CARTON FOR 8920,Active,0,,Part
R1160D,"Corrugated Case, Printed, Generic",Active,0,,Part
R1246D,"Corrugated Case, Printed, Generic, 25.375 Inch x 14.25 Inch x 10.6875 Inch",Active,1,,Part
R1292C,O/S FOR 12 GALLON,Discontinued,0,,Part
R1292D,"Corrugate Case, Printed, Generic, Sharps and Chemotheraoy Waste Containers",Active,0,,Part
R1293C,"Corrugated Case, Printed, Generic, 21.5 Inch x 7.1875 Inch x 12.25 Inch",Discontinued,1,,Part
R1293D,"Corrugated Case, Printed, Generic, 21.5 Inch x 7.1875 Inch x 12.25 Inch",Active,0,,Part
R1300D,"Corrugated Case, Printed, Generic, 20.25 Inch x 17.0 Inch x 21.0 Inch",Active,0,,Part
R1302C,O/S FOR 1522SA,Discontinued,1,,Part
R1302D,"Corrugated Case, printed, Generic, 29.625 Inch X 13.125 Inch X 15.0 Inch",Active,0,,Part
R1306D,"Corrugated Case, Printed, Generic",Active,0,,Part
R1308D,"Corrugated Case, Printed, Generic, 23.5 Inch x 14.125 Inch x 13.875 Inch",Active,0,,Part
R1310D,"Corrugated Case, Printed, Generic, 14.25 Inch x 10.375 Inch x 24.00 Inch",Discontinued,2,,Part
R1317C,O/S 2GAL. GENERIC FOR 8535,Discontinued,1,,Part
R1317D,Overshipper 25 Gallon Generic for 8535,Active,0,,Part
R1320D,"Corrugated Case, Printed, Generic, 24-7/8 Inch x 17-1/4 Inch x 10-7/8 Inch",Active,1,,Part
R1321E,"Corrugated Case, Printed, Generic, 20.25 Inch x 17.625 Inch x 14.5 Inch",Discontinued,2,,Part
R1324C,OVERSHIPPER FOR 85021,Discontinued,1,,Part
R1324D,Overshipper for 85021,Active,0,,Part
R1333C,OVERSHIPPER FOR 1511,Discontinued,1,,Part
R1333D,Overshipper for 1511,Discontinued,1,,Part
R1334C,O/S 1/2GAL. ALWS OPEN SHP.CNT.,Discontinued,0,,Part
R1338C,OVERSHIPPER FOR 1510,Discontinued,1,,Part
R1338D,Overshipper for 1510,Discontinued,1,,Part
R1348D,"Corrugated Case, Printed, Generic, 19.0 Inch x 10.875 Inch x 11.25 Inch",Discontinued,1,,Part
R1363C,OVERSHIPPER FOR 8961,Discontinued,0,,Part
R1365C,OVERSHIPPER FOR 8982-AC,Discontinued,0,,Part
R1367C,OVERSHIPPER FOR 8301,Discontinued,1,,Part
R1367D,"Corrugated Case, Printed, Generic, 7 Inch x 4.563 Inch x 11.75 Inch",Discontinued,1,,Part
R1368E,"Corrugated Case, Printed, Generic, 6.5625 Inch x 4.125 Inch x 11.00 Inch",Discontinued,1,,Part
R1378A,OVERSHIPPER FOR 8303,Discontinued,1,,Part
R1378B,"Corrugated Case, Printed, Generic, 21.0 Inch x 10.125 Inch x 8.8125 Inch",Active,0,,Part
R1398E,"Corrugated Case, Printed, Generic, 25.25 Inch x 21.875 Inch x 10.625 Inch",Discontinued,2,,Part
R1399,"Corrugated Z-Pad, Unprinted, 46-7/8 Inch x 10-5/8 Inch",Discontinued,2,,Part
R1436,"Corrugated U-Pad, Unprinted, 33-1/2 Inch x 10-5/8 Inch",Discontinued,2,,Part
R1445B,OVERSHIPPER FOR 8932AC/8860AC,Discontinued,1,,Part
R1445C,Overshipper for 8932AC and 8860AC,Discontinued,1,,Part
R1471B,"Corrugated Case, Printed, Generic, 31.0 Inch x 12.5 Inch x 13.875 Inch",Active,0,,Part
R1472,2-SHAPED SPACER 8930SA (X1602),Discontinued,1,,Part
R1474,"Corrugated Divider, Unprinted, 39-3/8 Inch x 11 Inch",Active,0,,Part
R1475,INSRT 30GAL CONT 8930SA(X1610),Discontinued,1,,Part
R1481A,OVERSHIPPER FOR 8958,Discontinued,1,,Part
R1481B,Overshipper for 8958,Active,0,,Part
R1516A,OVERSHIPPER (CART),Discontinued,1,,Part
R1517,SCORED SHEET,Discontinued,1,,Part
R1518,SLIT SCORED SHEET,Discontinued,1,,Part
R1519,SCORED SHEET,Discontinued,1,,Part
R1520,DIE CUT TRAY,Discontinued,1,,Part
R1528A,"Corrugated Case, Printed, Generic, 20.375 Inch x 14.0 Inch x 15.75 Inch",Active,1,,Part
R1535,SCORED SHEET PHLEBOTOMY(88014),Discontinued,0,,Part
R1536A,OVERSHIPPER,Discontinued,0,,Part
R1537,DIVIDER PAD FOR FISHER(882761),Discontinued,0,,Part
R1538B,RM10004101 has been revised to part R1538B.  Correcting part#.,Discontinued,0,,Part
R1543B,"Corrugated Case, Printed, Generic, 16.375 Inch x 9.375 Inch x 3.75 Inch",Discontinued,1,,Part
R1563A,O/S FOR 7-1/2 GAL,Discontinued,1,,Part
R1563B,Overshipper for 7-1/2 Gallon,Discontinued,1,,Part
R1564,DIVIDER PAD FOR 10 GALLON,Discontinued,1,,Part
R1565A,OVERSHIPPER FOR 7 & 10 GALLON,Discontinued,1,,Part
R1565B,Overshipper for 7 & 10 Gallon,Active,0,,Part
R1566,GLUED TUBE FOR 10 GAL,Discontinued,1,,Part
R1567,"Corrugated Divider, Unprinted, 36 Inch x 16-3/8 Inch",Active,1,,Part
R1568,SLEEVE FOR LID 7 GALLON CONT,Discontinued,1,,Part
R1591A,O/S FOR 2 GALLON,Discontinued,1,,Part
R1591B,Overshipper for 2 Gallon,Discontinued,1,,Part
R1592,"Corrugated Partition, Unprinted, 16-1/16 Inch x 25-3/4 Inch",Discontinued,1,,Part
R1593,"Corrugated Partition, Unprinted, 16-1/6 Inch x 14-5/8 Inch",Discontinued,1,,Part
R1594,O/S FOR KEYS - HIDDEN BRACKET,Active,0,,Part
R1603B,"Corrugated Case, Printed, NOVAPLUS 2 Gallon Sharps Disposal Container, Reorder No. V8970",Discontinued,2,,Part
R1604,SCORED SHEET INSERT FOR 12 GAL,Discontinued,1,,Part
R1606,Z PAD FOR SSIV,Active,0,,Part
R1608,SCORED SHT. FOR 3 GAL. SSIV,Discontinued,1,,Part
R1612A,O/S FOR SSIV CONTAINER,Active,0,,Part
R1612B,Overshipper for SSIV Container,Active,0,,Part
R1626,OVERSHIPPER FOR 8549SA,Active,0,,Part
R1626A,Overshipper for 8549SA,Active,0,,Part
R1635,O/S FOR 8556H,Discontinued,0,,Part
R1635A,"Corrugated Case. Printed, Generic, 19.00 Inch x 12.9375 Inch x 5.125Inch",Active,1,,Part
R1637,CORRUGATED SCORED UNPRINTED SH,Discontinued,1,,Part
R1638A,Correct artwork part to match RMPS,Discontinued,1,,Part
R1644A,"Corrugated Case, Printed, Generic, 19-3/8 Inch x 15-1/8 Inch x 21-7/8 Inch",Active,1,,Part
R1648,"Corrugated 1 Slot Partition, Unprinted, 4-3/8 Inch x 16 Inch",Discontinued,2,,Part
R1653,"Corrugated Case, Printed, Generic, 19.375 Inch x 15.125 Inch x 21.875 Inch, Reorder No. V8980",Discontinued,2,,Part
R1654,"Corrugated Case, Printed, Generic, 19-3/8 Inch x 15-1/8 Inch x 21-7/8 Inch",Discontinued,2,,Part
R1674,SCORED SHEET FOR SSIV,Active,0,,Part
R1676,O/S FOR SYRINGE TRANSFER CUP,Discontinued,0,,Part
R1678B,O/S FOR 2-1/2 & 5 QT,Discontinued,1,,Part
R1678C,"Corrugated Case, Printed, Generic, 23 Inch x 13.625 Inch x 30.625 Inch",Discontinued,1,,Part
R1679,PAD FOR 5 QT. & 2-1/2 QT,Active,0,,Part
R1680,PARTITION FOR 5 QT & 2-1/2 GAL,Active,0,,Part
R1681,PARTITION  FOR 2-1/2 & 5 QT,Active,0,,Part
R1682A,"Corrugated Case, Printed, 23-3/8 Inch x 19-5/8 Inch x 27-7/16 Inch",Discontinued,2,,Part
R1683,"Corrugate Partition, Unprinted, 13-1/4 Inch x 23-1/4 Inch",Active,1,,Part
R1684,"Corrugated Pad, Unprinted, 19-1/2 Inch x 23-1/4 inch",Active,1,,Part
R1685,"Corrugated Insert, Unprinted, 35-5/8 Inch x 35-1/2 Inch",Active,1,,Part
R1686,"Corrugate 2-Slot Partition, Unprinted, 13-1/4 Inch x 19-1/2 Inch",Active,1,,Part
R1690,"Corrugated Case, Unprinted, 18.750 Inch x 12.375 Inch x 42.6875 Inch",Active,1,,Part
R1693,O/S FOR 3-1/2 GAL CONT,Active,0,,Part
R1694,U-PAD SCORED INSERT 3-1/2 GAL,Active,0,,Part
R1695,INSERT DIVIDER FOR 3-1/2 GAL,Active,0,,Part
R1697,UNPRINTED O/S FOR 1 GA GP,Active,0,,Part
R1698,"Corrugated Divider, Unprinted, 33.625 Inch x 20.25 Inch",Active,1,,Part
R1700,"Scored Lid Retention Insert, 18 Gallon B Tool, Unprinted",Active,1,,Part
R1701,O/S 3 Gallon In Room Container,Active,0,,Part
R1703,D/C INSERT 44 3/16 X 12 1/4,Active,0,,Part
R1704,O/S FOR THE SHARP STAR II,Active,0,,Part
R1705,SHARP STAR II INSERT DIVIDER,Active,0,,Part
R1706,O/S FOR  V8536,Discontinued,1,,Part
R1713,"Corrugate Case, Unprinted, 20-1/4 Inch x 17-5/8 Inch x 14-1/2 Inch",Discontinued,1,,Part
R1715,"Corrugate Case, Unprinted, 14-1/4 Inch x 10-3/8 Inch x 24 Inch",Discontinued,1,,Part
R1720,"Corrugate Case, Unprinted, 23.375 Inch x 19.625 Inch x 27.4375 Inch",Active,1,,Part
R1722,"Corrugate Case, Unprinted, 24 Inch x 15-1/2 Inch x 25-3/4 Inch",Discontinued,1,,Part
R1725,"Corrugate Case, Unprinted, 23 Inch x 13-5/8 Inch x 30-5/8 Inch",Discontinued,1,,Part
R1740,"Corrugated Case, Unprinted, 20.375 Inch x 14.0 Inch x 15.75 Inch",Discontinued,1,,Part
R1741,UNPRINTED O/S FOR 30 GALLON,Active,0,,Part
R1742,GUIDE BRACKET FOR FP CART,Discontinued,1,,Part
R1748,"Corrugated Case, Unprinted, 16.250 Inch x 16.250 Inch x 41.875 Inch, Reorder Nos. 31378089 and 31378097",Active,1,,Part
R1749,"Corrugated Scored Sheet, Unprinted, 15.875 Inch x 38.375 Inch, Holds 3 EA Lids, Reorder Nos. 31378089 and 31378097",Active,1,,Part
R1750,"Corrugated Scored Sheet, Unprinted, 30.125 Inch x 10.250 Inch, Supports 2 Lids, Reorder Nos. 31378089 & 31378097",Active,1,,Part
R1766,"Corrugated Case, Unprinted, 14.125 Inch x 12.375 Inch x 20.750 Inch",Discontinued,2,,Part
R1800,"Corrugated Divider, Unprinted, 44.17 Inch x 9.75 Inch",Active,1,,Part
R2000,"Corrugated Divider, Unprinted, 40-3/4 Inch x 33-3/4 Inch",Active,1,,Part
R3691E,LABEL - RADIOACTIVE 8990L,Discontinued,0,,Part
R3712,BAG-CLEAR POLY FOR AUTODROP,Discontinued,1,,Part
R3908G,LABEL LOCKING INST - REVISED,Discontinued,1,,Part
R3918B,LABEL-TAMP.PROOF LID INST.  5,Discontinued,0,,Part
R4055G,"Printed Product Label, Generic, CHEMOSAFETY Waste Disposal Container, Various Reorder Nos.",Discontinued,2,,Part
R4127K,"Printed Product Label, Generic, Biohazard Waste Disposal Container, Various Reorder Nos.",Discontinued,2,,Part
R4128E,"Product Label, Printed, Biohazard, Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
R4145E,LABEL 8961 USAGE INSTRUCTION,Discontinued,0,,Part
R4147D,LABEL SHARP SHUTTLE TUBE,Discontinued,1,,Part
R4153B,LABEL - USER INSTRUCTION 8303,Discontinued,1,,Part
R4168C,LABEL - 8800 SINGLE USE,Discontinued,0,,Part
R4225I,LABEL-PHARMASAFETY PRODUCT,Discontinued,1,,Part
R4225J,"Product Label, Printed, 5.0 Inch x 6.75 Inch, PharaSafety Containers",Discontinued,2,,Part
R4226A,"Product Label, Printed, 2-1/4 Inch x 3-5/8 Inch, PharmaSafety Containers",Active,1,Compliant,Part
R4227,"Product Label, Printed, 1-1/2 Inch x 6-3/4 Inch, PharmaSafety Containers, Various Reorder Nos.",Active,1,Compliant,Part
R4237,"Product Label, Printed, Biomax Dot, Sharps Containers, Various Reorder Nos.",Active,1,Compliant,Part
R4264F,LABEL BIO-HAZ SMALL VOLUME,Discontinued,1,,Part
R4265B,BIOHAZ LABEL - 8930SA,Discontinued,1,,Part
R4265C,BIOHAZARD LABEL FOR 8930SA,Discontinued,1,,Part
R4286,LABEL NON-INFECTIOUS WASTE,Discontinued,1,,Part
R4287G,LBL.MANU.W/RECYCLED PLASTIC,Discontinued,0,,Part
R4293D,CHEMOMAX BUCKET LABEL,Discontinued,1,,Part
R4293E,CHEMOMAX PRODUCT LABEL,Discontinued,1,,Part
R4296B,BIOMAX BIOHAZARD LABEL,Discontinued,1,,Part
R4296C,BIOMAX BIOHAZARD LABEL,Discontinued,1,,Part
R4305D,"Product Label, Printed, Fisherbrand (Private Label) 1 Quart Phlebotomy Container, Various Reorder Nos.",Discontinued,2,,Part
R4306F,"Product Label, Printed, PSS Select (Private Label) Waste Disposal Containers, Various Reorder Nos.",Discontinued,2,,Part
R4309D,LABEL - 1QT FISHER PHLEBOTOMY,Discontinued,1,,Part
R4326H,"Product Label, Printed, Generic, PSS Select Waste Disposal Container, Various Reorder Nos.",Discontinued,2,,Part
R4355E,LBL PharmaStar HORZ,Discontinued,1,,Part
R4369A,"Product Label, RCRA Hazardous Waste, Various Reorder Nos.",Discontinued,2,,Part
R4370,"Product Label, RCRA Ignitable Waste Container, Various Reorder Nos.",Active,1,Compliant,Part
R4371,"Printed Label, RCRA Hazardous Waste Container Toxic Class 6, Various Reorder Nos.",Active,1,Compliant,Part
R4374,"Overshipper Label, Preprinted with Tyco Logo, 4 Inch x 7 Inch",Active,1,,Part
R4375,"Overshipper Label, Preprinted with Fisherbrand Logo, 4 Inch x 7 Inch",Discontinued,2,,Part
R4376A,"Overshipper Label, Preprinted with PSS Select Logo, 4 Inch x 7 Inch",Discontinued,2,,Part
R4379,"Overshipper Label, Preprinted with Medline Logo, 4 Inch x 7 Inch",Discontinued,2,,Part
R4380B,"Product Label, Printed, Generic, Biohazard, Waste Disposal Container, Various Reorder Nos.",Discontinued,2,,Part
R4382,"Product Label, Printed, Generic, CHEMOSAFETY Waste Disposal, Various Reorder Nos.",Discontinued,1,,Part
R4383,"Product Label, Preprinted French/English, 5 Quart Sharpstar Container, Reorder No. 8506YM",Active,1,Compliant,Part
R4384A,LABEL BIO-HAZ HORIZONTAL F&E,Discontinued,1,,Part
R4395,"Product Label, Printed, RCRA Hazardous Waste, Fill Line, Various Reorder Nos.",Active,1,Compliant,Part
R4401,PRINTED CONTAINER LABEL,Discontinued,1,,Part
R4402,"PRODUCT LABEL, 8940FP & 8941FP",Discontinued,1,,Part
R4404,"PRINTED CONTAINER LABEL, CHEMO",Discontinued,1,,Part
R4405,"PRINTED LABEL, CONUNTRY OF",Active,0,,Part
R4407,"LABEL, PRINTED, BIOHAZARD CONT",Discontinued,1,,Part
R4408,BIOHAZARD WASTE DISPOSAL LABEL,Discontinued,1,,Part
R4415,"Overshipper Label, Unprinted, 4 Inch X 8 Inch",Active,1,,Part
R4429,"Printed product label, Generic, IML Biohazard waste, Disposal container, Various reorder nos.",Discontinued,2,,Part
R4545B,BAG FOR 1510SA - PRINTED,Discontinued,1,,Part
R4546B,BAG FOR 1500SA - PRINTED,Discontinued,1,,Part
R4549,GUSSETTED POLYBAG (X3014),Discontinued,1,,Part
R4550,"Polybag, Unprinted, 14 Inch x 20 Inch",Discontinued,1,,Part
R4552A,"POLY BAG - 40"" X 48""",Discontinued,0,,Part
R4559,POLY BAG (X3012),Discontinued,1,,Part
R5091,ABSORBANT PADS - LARGE,Discontinued,1,,Part
R5092,ABSORBANT PADS - SMALL,Discontinued,1,,Part
R5093,"Absorbent Pads, Large, 9-7/8 Inch x 5-5/8 Inch",Discontinued,2,,Part
R5094,"Absorbent Pads, Small, 7-7/8 Inch x 3-1/4 Inch",Discontinued,2,,Part
R5097,"Absorbent Pads, Large, 9-7/8 Inch x 5-5/8 Inch",Active,2,Compliant,Part
R5098,"Absorbent Pads, Small, 7-7/8 Inch x 3-1/4 Inch",Active,2,Compliant,Part
R5099,"Printer Ribbon, IML",Discontinued,4,,Part
R5104,ABSRBANT PADS LG 9-7/8 X 5-5/8,Active,0,Compliant,Part
R7011,FOAM NEEDLE PROTECTOR RED,Discontinued,0,,Part
R7012,"Locking Lid, Rotor Version, 5 Quart Container",Active,6,,Part
R7013,"Rotor, White",Active,4,,Part
R7019,"Locking Lid, Rotor Version",Active,4,,Part
R7024G,"Lid, Clear, 2 Gallon",Active,1,,Part
R7024K,"Lid, Auto Drop, Clear, 2 Gallon",Active,1,,Part
R7025MW,"Deck, 2 Gallon, 3.5% Medical Waste",Active,1,,Part
R7025N,"Lid, Clear, 2 Gallon",Active,1,,Part
R7026,"Clear, 1 Quart Lid",Active,1,,Part
R7027,"Sharps Container, Red, 1 Quart",Active,5,,Part
R7027GW,"Sharps Container, Red, 1 Quart, Greenwood",Active,4,,Part
R7027MW,"Sharps Container, 1 Quart, 3% RM154 Red, In-house Regrind for Medical Waste",Active,2,,Part
R7027P,"Sharps Container, Purple, 1 Quart",Discontinued,1,,Part
R7027Y,"Sharps Container, Yellow, 1 Quart",Active,3,,Part
R7028,Red 2 Gallon Container,Active,8,,Part
R7028BK,"Container, Black, 2 Gallon",Active,4,,Part
R7028GRMW,"SHARPSAFETY RM154 Red, In-house Regrind for Medical Waste Container, 2 Gallon",Active,3,,Part
R7028GW,"Sharps Container, Red, 2 Gallon",Active,4,,Part
R7028MW,"2 Gallon, 3% RM154 Red, In-house Regrind for Medical Waste",Discontinued,2,,Part
R7028NGW,"Sharps Container, 2 Gal, Red, Nonsterile",Preliminary,,,Part
R7028NMW,"Container, 2 Gallon, 3% Medical Waste",Discontinued,3,,Part
R7028RHC,"Sharps Container, Translucent Red, 2 Gallon",Active,5,,Part
R7028W,"Sharps Container, White, 2 Gallon",Active,5,,Part
